,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Naze,100,NG,1571781469,98,5.43,5.43,74.08,1.43
374,Bure,74,NG,1571781471,64,10.52,10.52,78.91,4.2
375,Mackay,90,CA,1571781473,93,53.65,53.65,44.6,8.21
376,Northam,20,AU,1571781475,93,-31.65,-31.65,51.8,2.41
377,Mutoko,0,ZW,1571781476,61,-17.4,-17.4,73.35,5.07
378,Mitsamiouli,79,KM,1571781478,80,-11.38,-11.38,80.01,7.02
379,Pirovskoye,100,RU,1571781480,67,57.63,57.63,24.21,5.2
380,Hopkinsville,1,US,1571781145,27,36.87,36.87,64.4,13.2
381,Yar-Sale,94,RU,1571781483,95,66.83,66.83,20.88,7.89
382,Victoria,75,BN,1571781312,88,5.28,5.28,78.01,2.99
383,Liling,20,CN,1571781487,93,27.65,27.65,62.6,4.83
384,Ponta Delgada,75,PT,1571781489,64,37.73,37.73,69.01,3.38
385,Susanville,1,US,1571781490,24,40.42,40.42,71.6,3.38
386,Lensk,91,RU,1571781492,93,60.71,60.71,18.25,2.57
387,Sambava,39,MG,1571781494,96,-14.27,-14.27,71.71,1.38
388,Geraldton,90,CA,1571781457,93,49.72,49.72,44.6,4.18
389,Tigzirt,100,DZ,1571781497,89,36.57,36.57,59.58,3.86
390,Verkhnyaya Sinyachikha,100,RU,1571781499,82,57.98,57.98,29.77,6.28
391,Comodoro Rivadavia,20,AR,1571781501,29,-45.87,-45.87,62.6,7.4
392,La Ronge,20,CA,1571781503,60,55.1,55.1,42.8,6.6
393,Lagoa,20,PT,1571781505,76,37.14,37.14,59.0,5.79
394,Makaleng,29,BW,1571781507,66,-20.8,-20.8,70.79,11.72
395,Orlik,75,PL,1571781508,81,53.95,53.95,51.8,5.79
396,Dwarka,0,IN,1571781510,60,28.58,28.58,82.99,2.0
397,Kieta,72,PG,1571781512,72,-6.22,-6.22,83.12,7.92
398,Camocim,36,BR,1571781514,74,-2.9,-2.9,78.13,4.59
399,Payson,75,US,1571781498,26,40.04,40.04,62.01,6.6
400,Carsamba,75,TR,1571781517,77,41.2,41.2,64.4,8.21
401,Faya,0,SA,1571781519,87,18.39,18.39,62.6,2.16
402,Sinnamary,33,GF,1571781521,78,5.38,5.38,81.95,9.33
403,Sitka,0,US,1571781523,20,37.17,37.17,68.0,7.19
404,Tarabha,100,IN,1571781524,91,20.73,20.73,73.74,1.5
405,Vila,71,IT,1571781526,100,45.18,45.18,63.0,1.61
406,Taoudenni,57,ML,1571781528,16,22.68,22.68,90.68,9.48
407,Gua Musang,100,MY,1571781530,98,4.88,4.88,71.92,1.0
408,Ekibastuz,100,KZ,1571781532,62,51.72,51.72,28.24,10.51
409,Mpanda,100,BI,1571781534,92,-3.17,-3.17,59.14,1.4
410,Hobyo,57,SO,1571781536,78,5.35,5.35,79.75,5.34
411,Cehegin,93,ES,1571781538,91,38.09,38.09,55.99,4.31
412,Euclides da Cunha,85,BR,1571781540,57,-10.51,-10.51,80.58,3.52
413,Tessalit,40,ML,1571781541,18,20.2,20.2,90.09,5.78
414,Ahipara,100,NZ,1571781543,61,-35.17,-35.17,55.81,26.51
415,Barra Patuca,67,HN,1571781545,75,15.8,15.8,83.98,12.84
416,Goba,76,ET,1571781547,92,7.01,7.01,48.79,2.04
417,Kavieng,100,PG,1571781548,71,-2.57,-2.57,84.11,6.36
418,Cangzhou,99,CN,1571781550,68,38.3,38.3,59.43,3.98
419,Yuzhno-Kurilsk,67,RU,1571781552,85,44.03,44.03,55.38,6.71
420,Hervey Bay,79,AU,1571781554,72,-25.3,-25.3,66.2,5.79
421,Strezhevoy,90,RU,1571781555,92,60.73,60.73,33.8,6.44
422,Batagay-Alyta,100,RU,1571781557,86,67.8,67.8,14.79,2.93
423,Ketchikan,90,US,1571781559,93,55.34,55.34,48.2,6.6
424,Havelock,75,US,1571781561,88,34.88,34.88,84.2,4.99
425,Togur,100,RU,1571781563,65,58.36,58.36,29.71,8.77
426,Enumclaw,90,US,1571781316,93,47.2,47.2,57.99,2.41
427,Coihueco,0,CL,1571781566,28,-36.63,-36.63,73.4,9.17
428,Sioux Lookout,90,CA,1571781440,93,50.1,50.1,39.2,7.4
429,Paita,0,PE,1571781570,100,-5.09,-5.09,62.6,8.21
430,Teya,90,MX,1571781572,88,21.05,21.05,84.99,4.18
431,Marawi,70,PH,1571781573,91,8.0,8.0,75.0,3.6
432,Oliver,40,CA,1571781575,42,49.18,49.18,62.6,8.21
433,Ardakan,100,IR,1571781577,33,32.31,32.31,62.6,3.38
434,Fort Nelson,75,CA,1571781578,81,58.81,58.81,32.0,1.61
435,Maraa,98,BR,1571781580,69,-1.83,-1.83,85.57,0.87
436,Dawei,8,MM,1571781582,79,14.07,14.07,80.65,4.18
437,Machilipatnam,100,IN,1571781584,94,16.18,16.18,74.46,7.05
438,Nigde,0,TR,1571781586,72,37.97,37.97,50.13,2.93
439,Leh,93,IN,1571781588,42,34.16,34.16,27.21,3.75
440,Maracacume,86,BR,1571781590,74,-2.04,-2.04,80.65,4.78
441,Voskresenskoye,100,RU,1571781591,85,56.84,56.84,41.79,5.99
442,Luancheng,54,CN,1571781593,93,37.88,37.88,50.0,1.61
443,Kodinsk,100,RU,1571781595,85,58.6,58.6,21.58,3.28
444,Panaba,100,MX,1571781597,88,21.28,21.28,79.7,5.89
445,Nelson Bay,20,AU,1571781598,77,-32.72,-32.72,68.0,6.6
446,Alugan,90,PH,1571781600,84,12.22,12.22,78.91,2.56
447,Swift Current,90,CA,1571781602,86,50.29,50.29,37.4,12.39
448,Veraval,90,FR,1571781604,93,49.65,49.65,50.0,4.18
449,Weligama,100,LK,1571781606,92,5.97,5.97,74.97,3.6
450,Zalantun,99,CN,1571781608,33,48.0,48.0,32.95,1.58
451,Sola,23,TZ,1571781609,73,-3.17,-3.17,72.07,5.23
452,Pamanukan,100,ID,1571781611,72,-6.28,-6.28,72.36,2.04
453,Peniche,0,PT,1571781613,87,39.36,39.36,61.0,0.8
454,Buala,100,SB,1571781615,90,-8.15,-8.15,76.98,10.19
455,Najran,0,SA,1571781617,30,17.54,17.54,68.0,1.45
456,Borba,100,BR,1571781618,76,-4.39,-4.39,80.04,3.48
457,Rosita,80,NI,1571781620,70,13.92,13.92,83.59,2.2
458,Ribeira Grande,75,PT,1571781622,88,38.52,38.52,65.32,7.48
459,Paamiut,85,GL,1571781624,64,61.99,61.99,36.81,3.52
460,Petatlan,40,MX,1571781625,62,17.52,17.52,89.6,8.21
461,Nuuk,75,GL,1571781627,59,64.17,64.17,33.8,14.0
462,Tari,6,NG,1571781629,41,12.41,12.41,86.54,3.77
463,Kaz,100,RU,1571781631,84,53.11,53.11,18.88,1.66
464,Lebyazhye,75,RU,1571781633,71,59.96,59.96,51.8,8.05
465,Buchanan,40,LR,1571781635,94,5.88,5.88,78.8,3.14
466,Malindi,0,KE,1571781636,91,-3.22,-3.22,76.23,4.1
467,Nang Rong,96,TH,1571781638,75,14.64,14.64,80.01,2.29
468,Graaff-Reinet,100,ZA,1571781640,51,-32.25,-32.25,58.37,4.92
469,Diffa,6,NE,1571781642,13,13.32,13.32,89.69,4.76
470,Orocue,100,CO,1571781644,68,4.79,4.79,84.65,4.6
471,Bria,92,CF,1571781645,96,6.54,6.54,68.29,1.61
472,Bonavista,100,CA,1571781647,84,48.65,48.65,42.01,4.31
473,Nouadhibou,42,MR,1571781649,68,20.93,20.93,68.0,14.0
474,Awbari,0,LY,1571781651,30,26.59,26.59,77.63,8.63
475,Witu,0,KE,1571781653,88,-2.39,-2.39,79.29,6.49
476,Guaymas,5,MX,1571781655,26,27.92,27.92,95.0,8.21
477,Pustoshka,78,RU,1571781656,86,56.34,56.34,51.85,6.81
478,Agirish,39,RU,1571781658,74,61.92,61.92,25.36,7.98
479,Matagami,58,NG,1571781660,80,9.67,9.67,71.55,1.19
480,Alta Floresta,100,BR,1571781662,74,-9.87,-9.87,82.4,1.61
481,Dodge City,1,US,1571781664,17,37.75,37.75,68.0,12.39
482,Le Vauclin,20,MQ,1571781665,78,14.55,14.55,82.4,4.99
483,Murray Bridge,0,AU,1571781667,48,-35.12,-35.12,72.0,5.58
484,Noumea,78,NC,1571781580,54,-22.28,-22.28,78.8,11.59
485,Slave Lake,90,CA,1571781671,93,55.28,55.28,35.6,4.18
486,Santiago del Estero,100,AR,1571781673,23,-27.8,-27.8,82.87,5.33
487,Fallon,95,US,1571781675,61,46.84,46.84,46.99,6.92
488,Muzhi,60,RU,1571781678,79,65.4,65.4,21.38,12.1
489,Mahibadhoo,100,MV,1571781680,73,3.78,3.78,82.4,7.6
490,Ngora,97,UG,1571781682,88,1.46,1.46,68.4,1.67
491,Khani,75,GE,1571781685,93,41.96,41.96,59.0,1.61
492,Lae,75,PG,1571781686,88,-6.72,-6.72,75.2,4.18
493,Basco,1,US,1571781688,43,40.33,40.33,55.99,14.97
494,Kerema,100,PG,1571781690,94,-7.96,-7.96,75.34,1.48
495,Nadym,100,RU,1571781692,98,65.53,65.53,31.28,6.13
496,Lerwick,100,GB,1571781693,87,60.15,60.15,53.6,10.78
497,Ishigaki,75,JP,1571781696,100,24.34,24.34,68.0,2.41
498,Pauini,96,BR,1571781697,70,-7.71,-7.71,81.48,3.27
499,Bilma,0,NE,1571781700,19,18.69,18.69,83.44,7.92
500,Svetlogorsk,90,RU,1571781702,93,53.14,53.14,39.2,8.05
501,Tafresh,100,IR,1571781704,67,34.69,34.69,49.32,5.17
502,Beidao,100,CN,1571781706,84,34.57,34.57,46.74,2.29
503,Omsukchan,1,RU,1571781707,100,62.53,62.53,-4.67,0.82
504,Richards Bay,100,ZA,1571781709,82,-28.77,-28.77,66.65,18.36
505,Birin,86,NP,1571781711,94,26.89,26.89,52.75,2.24
506,Spencer,90,US,1571781713,87,42.24,42.24,57.0,3.38
507,Saint-Michel-des-Saints,100,CA,1571781683,6,46.68,46.68,55.0,0.72
508,Pangobilian,4,PH,1571781718,89,8.8,8.8,75.52,0.63
509,Juegang,100,CN,1571781720,84,32.31,32.31,64.0,3.2
510,Edd,48,ER,1571781722,32,13.93,13.93,87.91,8.18
511,Lac-Megantic,20,CA,1571781724,50,45.58,45.58,55.4,6.6
512,Baykit,60,RU,1571781726,93,61.68,61.68,18.03,1.66
513,Labuhan,100,ID,1571781728,83,-2.54,-2.54,69.71,0.84
514,Camacha,40,PT,1571781730,59,33.08,33.08,66.2,7.4
515,Pacific Grove,1,US,1571781732,38,36.62,36.62,91.0,2.41
516,Maniitsoq,46,GL,1571781733,44,65.42,65.42,33.82,5.54
517,Namibe,90,AO,1571781735,78,-15.19,-15.19,70.03,0.9
518,Murupara,98,NZ,1571781737,66,-38.46,-38.46,57.0,4.31
519,Nabire,73,ID,1571781739,92,-3.36,-3.36,72.86,1.06
520,Aktau,0,KZ,1571781740,56,43.65,43.65,42.8,6.44
521,Kailua,75,US,1571781742,66,21.39,21.39,87.8,8.21
522,Gigmoto,6,PH,1571781744,78,13.78,13.78,82.2,7.81
523,Poum,0,MK,1571781746,50,41.28,41.28,53.67,2.83
524,Jiuquan,96,CN,1571781748,45,39.73,39.73,38.53,2.32
525,Mantua,69,IT,1571781749,100,45.16,45.16,66.2,3.38
526,Rudnogorsk,100,RU,1571781751,93,57.27,57.27,20.48,4.23
527,Alice Springs,0,AU,1571781753,12,-23.7,-23.7,64.4,2.41
528,Keti Bandar,97,PK,1571781755,57,24.14,24.14,82.9,5.68
529,Skjervoy,100,NO,1571781757,95,70.03,70.03,35.08,4.59
530,Dalbandin,0,PK,1571781758,25,28.9,28.9,63.18,1.21
531,Torrington,90,US,1571781760,31,42.06,42.06,57.99,15.77
532,Sargur,100,IN,1571781762,97,11.98,11.98,67.53,3.88
533,Hargeysa,0,SO,1571781764,65,9.56,9.56,62.85,6.89
534,Karonga,0,MW,1571781765,65,-9.94,-9.94,79.14,2.82
535,Ceres,100,BR,1571781767,74,-15.31,-15.31,77.7,2.17
536,Brokopondo,40,SR,1571781769,66,5.06,5.06,87.8,7.4
537,Faanui,1,PF,1571781771,72,-16.48,-16.48,80.17,4.63
